# 7SJ85-SIP — Siemens 7SJ85 SIPROTEC 5 overcurrent
# generated 2026-09-04 14:05 from 7SJ85.html
# configuration: kv=20; freq=50; rot=ABC; gnd=res; load=180; lpf=0.9; len=12; unit=km; z1m=0.12; z1a=72; z0m=0.38; z0a=68; ctp=400; cts=1; ctstar=line; ctgp=60; ctgs=1; i0src=cb; vtp=20000; vts=100; vtc=wye; v0src=bd; bdr=100; zsrc=I; zhold=1; cmc=3x; imax=32; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,Expected,ExpectedDetail,Measured,PassFail
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),4,Busbar trip timing,"Same state, second stage",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.3000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,0.250 s,Stage 2 — trips the busbar zone,,
50BF,Circuit-breaker failure,State Sequencer,sequence (assemble from these steps),5,Reset check,"Initiate asserted, then current removed inside stage 1",,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@-72.0,0.0000@0.0,0.0000@0.0,,,,50.000,NO TRIP,Proves the detector reset stops the scheme,,
74TC,Trip circuit supervision,—,binary / DC,1,Healthy circuit,"Trip circuit intact, breaker closed",,,,,,,,,,,,,,,NO ALARM,Both binary inputs energised,,
74TC,Trip circuit supervision,—,binary / DC,2,Trip coil open,Open the trip-coil circuit at the terminal block,,,,,,,,,,,,,,,ALARM,After 2.000 s,,
74TC,Trip circuit supervision,—,binary / DC,3,Trip supply lost,Remove the DC supply to the trip circuit,,,,,,,,,,,,,,,ALARM,After 2.000 s,,
74TC,Trip circuit supervision,—,binary / DC,4,Breaker open,Breaker open with the circuit intact,,,,,,,,,,,,,,,NO ALARM,The scheme must not alarm on a normally open breaker — this is the point that catches a one-input arrangement wired as if it were two,,
25,Synchrocheck,Synchronizer,points,1,In synchronism,All three differences well inside their limits,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,CLOSE RELEASED,"Δθ 0°, ΔV 0 V, Δf 0 Hz",,
25,Synchrocheck,Synchronizer,points,2,Angle inside limit,Angle at 80% of the setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@12.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,CLOSE RELEASED,Δθ 12.0°,,
25,Synchrocheck,Synchronizer,points,3,Angle outside limit,Angle at 120% of the setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@18.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,Δθ 18.0°,,
25,Synchrocheck,Synchronizer,points,4,Voltage difference outside,"Angle matched, magnitude offset past ΔV",,,,57.735@0.0,57.735@-120.0,57.735@120.0,50.535@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,ΔV 7.20 V,,
25,Synchrocheck,Synchronizer,points,5,Slip outside limit,Line output run off frequency so the angle rotates,,,,57.735@0.0,57.735@-120.0,57.735@120.0,57.735@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,Δf 0.096 Hz,,
25,Synchrocheck,Synchronizer,points,6,"Dead line, live bus",Line collapsed below the dead threshold — the normal reclose case,,,,57.735@0.0,57.735@-120.0,57.735@120.0,10.000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,CLOSE RELEASED,"Release comes from the dead-line logic, not the sync check",,
27,Undervoltage,Voltage,pickup+time,1,Threshold — below,95% of setting,,,,43.879@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 3.000 s,,
27,Undervoltage,Voltage,pickup+time,2,Threshold — above,105% of setting,,,,48.497@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
27,Undervoltage,Voltage,pickup+time,3,Timing at 0.50× threshold,Step from nominal to the test level,,,,23.094@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,3.000 s,Definite time,,
27,Undervoltage,Voltage,pickup+time,4,Below minimum operating voltage,Proves the function blocks rather than operating on a dead feeder,,,,4.000@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,BLOCKED,Function inhibited,,
59,Overvoltage,Voltage,pickup+time,1,Threshold — above,105% of setting,,,,66.684@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 1.500 s,,
59,Overvoltage,Voltage,pickup+time,2,Threshold — below,95% of setting,,,,60.333@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
59,Overvoltage,Voltage,pickup+time,3,Timing at 1.25× threshold,Step from nominal to the test level,,,,79.386@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,1.500 s,Definite time,,
47,Voltage unbalance / phase rotation,Quick CMC,points,1,Threshold — above,Balanced set in reverse rotation — every volt applied is negative sequence,,,,6.351@0.0,6.351@120.0,6.351@-120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 3.000 s,,
47,Voltage unbalance / phase rotation,Quick CMC,points,2,Threshold — below,Balanced set in reverse rotation — every volt applied is negative sequence,,,,5.196@0.0,5.196@120.0,5.196@-120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
47,Voltage unbalance / phase rotation,Quick CMC,points,3,Full phase reversal,Nominal set with L2 and L3 exchanged,,,,57.735@0.0,57.735@120.0,57.735@-120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,V2 = 57.74 V,,
81,Under / over frequency,Quick CMC,points,1,Threshold — past,0.050 Hz beyond the setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,OPERATE,Operate after 0.500 s,,
81,Under / over frequency,Quick CMC,points,2,Threshold — short of,0.050 Hz on the healthy side,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,49.050,RESTRAIN,No operation,,
81,Under / over frequency,Quick CMC,points,3,Timing,Step from 50.0 Hz straight to 48.950 Hz,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,0.500 s,Definite time,,
81,Under / over frequency,Quick CMC,points,4,Below minimum voltage,Frequency past the setting but voltage under the 30 V level,,,,24.000@0.0,24.000@-120.0,24.000@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,48.950,BLOCKED,Function inhibited,,
81R,Rate of frequency change,Ramping,ramp,1,Rate above threshold,Ramp 50.00 → 47.00 Hz at 1.200 Hz/s · 2.500 s of travel,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 0.200 s of sustained rate,,
81R,Rate of frequency change,Ramping,ramp,2,Rate below threshold,Ramp 50.00 → 47.00 Hz at 0.800 Hz/s · 3.750 s of travel,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,RESTRAIN,No operation,,
81R,Rate of frequency change,Ramping,ramp,3,Well above threshold,Ramp 50.00 → 47.00 Hz at 3.000 Hz/s · 1.000 s of travel,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,50.000,OPERATE,Operate after 0.200 s of sustained rate,,
32,Directional power,Quick CMC,points,1,Above threshold,110% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0397@0.0,0.0397@-120.0,0.0397@120.0,,,,50.000,OPERATE,Balanced 3φ · 550.0 kW primary,,
32,Directional power,Quick CMC,points,2,Below threshold,90% of setting,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0325@0.0,0.0325@-120.0,0.0325@120.0,,,,50.000,RESTRAIN,Balanced 3φ · 450.0 kW primary,,
32,Directional power,Quick CMC,points,3,Timing at 2× threshold,Definite time,,,,57.735@0.0,57.735@-120.0,57.735@120.0,,0.0722@0.0,0.0722@-120.0,0.0722@120.0,,,,50.000,2.000 s,Balanced 3φ · 1000.0 kW primary,,
