# 845-VEC — Multilin 845 transformer protection
# generated 2026-09-07 01:42 from 845.html
# configuration: mva=20; kv1=115; kv2=13.8; vg=Dyn1; freq=60; rot=ABC; ct1p=150; ct1s=5; ct1c=wye; ct2p=1200; ct2s=5; ct2c=wye; ctgp=200; ctgs=5; refw=2; vtp=13800; vts=120; vtc=wye; vtw=2; cmc=6x; imax=12.5; vmax=300
# All quantities are SECONDARY at the relay terminals. Angles in degrees, CCW positive, V L1 = 0.
# Values shown are for the tool's sample configuration — re-generate after entering real station data.
Element,ElementName,TU_Module,DriveAs,Step,StepName,WhatIsApplied,SeqRun,SeqState,StateDuration_s,V_L1,V_L2,V_L3,V_4,I_L1,I_L2,I_L3,I_B_L1,I_B_L2,I_B_L3,Freq_Hz,CurrentNeededAt,Reachable,Expected,ExpectedDetail,Measured,PassFail
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),3,Retrip timing,Initiate asserted with current held at 2.0× detector and never removed,,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.100 s,Timer 1 — retrip output,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),4,Backup trip timing,"Same state, second stage",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,2.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,0.200 s,Timer 2 — bus / backup trip output,,
50BF,Breaker failure,State Sequencer,sequence (assemble from these steps),5,Reset check,"Initiate asserted, then current removed inside timer 1",,,,69.282@0.0,69.282@-120.0,69.282@120.0,,0.0000@-75.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,60.000,,yes,NO TRIP,Proves the detector reset stops the scheme,,
25,Synchrocheck,Synchronizer,points,1,In synchronism,All three differences comfortably inside their limits,,,,69.282@0.0,69.282@-120.0,69.282@120.0,69.282@16.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,CLOSE PERMITTED,"Δθ 16.0°, ΔV 0 V, Δf 0 Hz",,
25,Synchrocheck,Synchronizer,points,2,Angle just inside limit,Angle difference at 80% of the setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,69.282@16.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,CLOSE PERMITTED,Δθ 16.0°,,
25,Synchrocheck,Synchronizer,points,3,Angle just outside limit,Angle difference at 120% of the setting,,,,69.282@0.0,69.282@-120.0,69.282@120.0,69.282@24.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,BLOCKED,Δθ 24.0°,,
25,Synchrocheck,Synchronizer,points,4,Voltage difference outside limit,"Angle matched, magnitude offset past ΔV",,,,69.282@0.0,69.282@-120.0,69.282@120.0,57.282@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,BLOCKED,ΔV 12.00 V,,
25,Synchrocheck,Synchronizer,points,5,Slip outside limit,Line output run off frequency so the angle rotates,,,,69.282@0.0,69.282@-120.0,69.282@120.0,69.282@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,BLOCKED,Δf 0.120 Hz,,
25,Synchrocheck,Synchronizer,points,6,"Dead line, live bus",Line collapsed below the dead threshold,,,,69.282@0.0,69.282@-120.0,69.282@120.0,10.000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,PER DEAD-LINE LOGIC,Result depends on the dead/live scheme enabled,,
25,Synchrocheck,Synchronizer,points,7,Both dead,Bus and line both below the dead threshold — set the bus channels low as well,,,,69.282@0.0,69.282@-120.0,69.282@120.0,10.000@0.0,0.0000@0.0,0.0000@0.0,0.0000@0.0,,,,60.000,,yes,PER DEAD-BUS LOGIC,Drop the three bus channels to 10.0 V for this step,,
